"module name","licenses","repository","licenseUrl","parents"
"@ant-design/charts@0.9.9","MIT*","https://github.com/ant-design/ant-design-charts","https://github.com/ant-design/ant-design-charts/raw/master/README.md","rue02"
"@ant-design/icons@4.6.2","MIT","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react","https://github.com/ant-design/ant-design-icons/tree/master/packages/icons-react/raw/master/LICENSE","rue02"
"@antv/data-set@0.11.4","MIT","https://github.com/antvis/data-set","https://github.com/antvis/data-set/raw/master/LICENSE","rue02"
"@aws-amplify/ui-react@0.2.38","UNKNOWN","https://github.com/aws-amplify/amplify-js","https://github.com/aws-amplify/amplify-js/raw/master/LICENSE","rue02"
"@craco/craco@5.6.4","Apache-2.0","https://github.com/gsoft-inc/craco","https://github.com/gsoft-inc/craco/raw/master/LICENSE","rue02"
"@formulajs/formulajs@2.4.3","MIT","https://github.com/formulajs/formulajs","https://github.com/formulajs/formulajs/raw/master/LICENSE","rue02"
"@loadable/component@5.13.1","MIT","https://github.com/gregberge/loadable-components","https://github.com/gregberge/loadable-components/raw/master/LICENSE","rue02"
"@testing-library/jest-dom@4.2.4","MIT","https://github.com/testing-library/jest-dom","https://github.com/testing-library/jest-dom/raw/master/LICENSE","rue02"
"@testing-library/react@9.3.2","MIT","https://github.com/testing-library/react-testing-library","https://github.com/testing-library/react-testing-library/raw/master/LICENSE","rue02"
"@testing-library/user-event@7.1.2","MIT","https://github.com/testing-library/user-event","https://github.com/testing-library/user-event/raw/master/LICENSE","rue02"
"@types/jest@24.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"@types/node@12.20.19","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"@types/react-csv@1.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"@types/react-dom@16.9.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"@types/react-router-dom@5.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"@types/react@16.14.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"@types/styled-components@5.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","rue02"
"antd@4.6.5","MIT","https://github.com/ant-design/ant-design","https://github.com/ant-design/ant-design/raw/master/LICENSE","rue02"
"aws-amplify@3.3.26","Apache-2.0","https://github.com/aws-amplify/amplify-js","https://github.com/aws-amplify/amplify-js/raw/master/LICENSE","rue02"
"babel-plugin-import@1.13.0","MIT","https://github.com/ant-design/babel-plugin-import","https://github.com/ant-design/babel-plugin-import","rue02"
"bizcharts@4.0.11","MIT","https://github.com/alibaba/BizCharts","https://github.com/alibaba/BizCharts","rue02"
"compare-versions@3.6.0","MIT","https://github.com/omichelsen/compare-versions","https://github.com/omichelsen/compare-versions/raw/master/LICENSE","rue02"
"craco-less@1.17.0","MIT","https://github.com/FormAPI/craco-less","https://github.com/FormAPI/craco-less/raw/master/LICENSE","rue02"
"file-saver@2.0.2","MIT","https://github.com/eligrey/FileSaver.js","https://github.com/eligrey/FileSaver.js/raw/master/LICENSE.md","rue02"
"less-loader@6.2.0","MIT","https://github.com/webpack-contrib/less-loader","https://github.com/webpack-contrib/less-loader/raw/master/LICENSE","rue02"
"less@3.12.2","Apache-2.0","https://github.com/less/less.js","https://github.com/less/less.js/raw/master/LICENSE","rue02"
"memfs@3.2.0","UNKNOWN","https://github.com/streamich/memfs","https://github.com/streamich/memfs/raw/master/LICENSE","rue02"
"mobx-react@6.3.1","MIT","https://github.com/mobxjs/mobx-react","https://github.com/mobxjs/mobx-react/raw/master/LICENSE","rue02"
"mobx@5.15.4","MIT","https://github.com/mobxjs/mobx","https://github.com/mobxjs/mobx/raw/master/LICENSE","rue02"
"numbro@2.3.1","MIT","https://github.com/BenjaminVanRyseghem/numbro","https://github.com/BenjaminVanRyseghem/numbro/raw/master/COPYING","rue02"
"react-csv@2.0.3","MIT","https://github.com/react-csv/react-csv","https://github.com/react-csv/react-csv/raw/master/LICENSE.txt","rue02"
"react-dom@16.13.1","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","rue02"
"react-idle-timer@4.3.6","MIT","https://github.com/supremetechnopriest/react-idle-timer","https://github.com/supremetechnopriest/react-idle-timer/raw/master/LICENSE","rue02"
"react-perfect-scrollbar@1.5.8","MIT","https://github.com/goldenyz/react-perfect-scrollbar","https://github.com/goldenyz/react-perfect-scrollbar/raw/master/LICENSE","rue02"
"react-router-dom@5.2.0","MIT","https://github.com/ReactTraining/react-router","https://github.com/ReactTraining/react-router/raw/master/LICENSE","rue02"
"react-router@5.2.0","MIT","https://github.com/ReactTraining/react-router","https://github.com/ReactTraining/react-router/raw/master/LICENSE","rue02"
"react-scripts@3.4.1","MIT","https://github.com/facebook/create-react-app","https://github.com/facebook/create-react-app/raw/master/LICENSE","rue02"
"react@16.13.1","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","rue02"
"styled-components@5.1.1","MIT","https://github.com/styled-components/styled-components","https://github.com/styled-components/styled-components","rue02"
"typescript@3.9.10","Apache-2.0","https://github.com/Microsoft/TypeScript","https://github.com/Microsoft/TypeScript/raw/master/LICENSE.txt","rue02"
